13   09.0 r1.2 41.1 44.0 0
13   09.0 r1.2 41.1 45.1 0
13   09.0 r1.2 42.1 44.0 0
13   09.0 r1.2 42.1 45.1 0
13   07.0 r1.2 40.1 43.0 0
13   07.0 r1.2 40.1 49.1 0
13   07.0 r1.2 40.1 55.5 0
13   07.0 r1.2 40.1 32.1 0
13   07.0 r1.2 40.1 45.3 0
13   07.0 r1.3 40.1 10.1 0
13   07.0 r1.3 40.1 92.0 0
13   07.0 r1.3 40.1 05.0 0
13   07.0 r1.3 41.1 10.1 0
13   07.0 r1.3 41.1 92.0 0
13   07.0 r1.3 41.1 05.0 0
13   07.0 r1.3 42.1 10.1 0
13   07.0 r1.3 42.1 92.0 0
13   07.0 r1.3 42.1 05.0 0
13   07.0 r1.2 41.1 44.0 0
13   07.0 r1.2 41.1 45.1 0
13   07.0 r1.2 42.1 44.0 0
13   07.0 r1.2 42.1 45.1 0
13   16.0 r1.2 40.1 43.0 0
13   16.0 r1.2 40.1 49.1 0
13   16.0 r1.2 40.1 55.5 0
13   16.0 r1.2 40.1 32.1 0
13   16.0 r1.2 40.1 45.3 0
13   16.0 r1.3 40.1 10.1 0
13   16.0 r1.3 40.1 92.0 0
13   16.0 r1.3 40.1 05.0 0
13   16.0 r1.3 41.1 10.1 0
13   16.0 r1.3 41.1 92.0 0
13   16.0 r1.3 41.1 05.0 0
13   16.0 r1.3 42.1 10.1 0
13   16.0 r1.3 42.1 92.0 0
13   16.0 r1.3 42.1 05.0 0
13   16.0 r1.2 41.1 44.0 0
13   16.0 r1.2 41.1 45.1 0
13   16.0 r1.2 42.1 44.0 0
13   16.0 r1.2 42.1 45.1 0
13   01.0 r1.2 40.1 43.0 0
13   01.0 r1.2 40.1 49.1 0
13   01.0 r1.2 40.1 55.5 0
13   01.0 r1.2 40.1 32.1 0
13   01.0 r1.2 40.1 45.3 0
13   01.0 r1.3 40.1 10.1 0
13   01.0 r1.3 40.1 92.0 0
13   01.0 r1.3 40.1 05.0 0
13   01.0 r1.3 41.1 10.1 0
13   01.0 r1.3 41.1 92.0 0
13   01.0 r1.3 41.1 05.0 0
13   01.0 r1.3 42.1 10.1 0
13   01.0 r1.3 42.1 92.0 0
13   01.0 r1.3 42.1 05.0 0
13   01.0 r1.2 41.1 44.0 0
13   01.0 r1.2 41.1 45.1 0
13   01.0 r1.2 42.1 44.0 0
13   01.0 r1.2 42.1 45.1 0
13   26.1 r1.2 40.1 43.0 0
13   26.1 r1.2 40.1 49.1 0
13   26.1 r1.2 40.1 55.5 0
13   26.1 r1.2 40.1 32.1 0
13   26.1 r1.2 40.1 45.3 0
13   26.1 r1.3 40.1 10.1 0
13   26.1 r1.3 40.1 92.0 0
13   26.1 r1.3 40.1 05.0 0
13   26.1 r1.3 41.1 10.1 0
13   26.1 r1.3 41.1 92.0 0
13   26.1 r1.3 41.1 05.0 0
13   26.1 r1.3 42.1 10.1 0
13   26.1 r1.3 42.1 92.0 0
13   26.1 r1.3 42.1 05.0 0
13   26.1 r1.2 41.1 44.0 0
13   26.1 r1.2 41.1 45.1 0
13   26.1 r1.2 42.1 44.0 0
13   26.1 r1.2 42.1 45.1 0
13   41.1 r1.2 72.1 33.0 1
13   41.1 r1.2 72.1 30.0 1
13   41.1 r1.2 60.2 33.0 1
13   41.1 r1.2 60.2 30.0 1
13   42.1 r1.2 72.1 33.0 1
13   42.1 r1.2 72.1 30.0 1
13   42.1 r1.2 60.2 33.0 1
13   42.1 r1.2 60.2 30.0 1
13   40.1 r1.2 72.1 33.0 1
13   40.1 r1.2 72.1 30.0 1
13   40.1 r1.2 60.2 33.0 1
